id;adresse;cp;ville;latitude;longitude
14130010;AIRE DE QUETTEVILLE A29;14130;Quetteville;49.336906;0.308019
79000015;130 Avenue de NANTES;79000;Saint-Rémy;46.348104;-0.509968
95420005;RN 14;95420;Charmont;49.13514;1.78964
92230010;113 AV LAURENT CELY;92230;Gennevilliers;48.92082;2.30617
37270005;62 CHEMIN DE LA BUSSARDIERE;37270;Véretz;47.3503792;0.8311044
19350002;LASCHAMPS;19350;Chabrignac;45.316832;1.336977
6250012;AUTOROUTE A8 - AIRE DES BREGUIÈRES;06250;Mougins;43.593875;7.035736
74890001;ROUTE DE LA SCIERIE;74890;Bons-en-Chablais;46.264;6.37
83460002;Voie Jacques Prévert;83460;Les Arcs;43.451;6.487
29140010;ROUTE DE CADOL;29140;Melgven;47.914984;-3.84233
64300006;174 ZA de la Plaine des Bois;64300;Biron;43.464;-0.741
69008008;86 AVENUE JEAN MERMOZ;69008;Lyon;45.733;4.881
41200005;LA BRIGAUDIERE;41200;Romorantin-Lanthenay;47.358;1.745
20250009;10 faubourg saint Antoine;20250;Corte;42.301226;9.150543
24750004;avenue Georges Pompidou;24750;Trélissac;45.198;0.741
78990004;Rue du Fond des Roches;78990;Élancourt;48.776;1.954
2580002;14 RUE DU MONVINAGE;02580;Étréaupont;49.903544;3.913999
61130001;Rue Guillaume SEZNEC;61130;Saint-Martin-du-Vieux-Bellême;48.375;0.542
44570007;RN 171;44570;Trignac;47.305033;-2.212259
26700002;21 route de St Paul;26700;Pierrelatte;44.403905;4.689508
13230004;ZA de Malebarge;13230;Port-Saint-Louis-du-Rhône;43.390961;4.81006
2110002;rue de Saint-Quentin;02110;Bohain-en-Vermandois;49.981;3.451
6660003;route de nice;06660;Saint-Étienne-de-Tinée;44.226;6.96
80230006;208 ROUTE D'ABBEVILLE;80230;Boismont;50.173;1.656
83210008;ZAC LA POULASSE;83210;Solliès-Pont;43.206357;6.050923
80800007;Autoroute A29 aire de Villers-Bretonneux;80800;Villers-Bretonneux;49.862884;2.52134
83570005;22 Loup à Loup;83570;Cotignac;43.509982;6.151181
8110005;43 Route Nationale;08110;Blagny;49.62155;5.186276
71640004;AVENUE DE CHALON;71640;Givry;46.781814;4.751934
80150004;route nationale;80150;Brailly-Cornehotte;50.20305;1.95771
44540002;2 IMPASSE DES CIGALES / SAINT MARS LA JAILLE;44540;Vallons-de-l'Erdre;47.516056;-1.187332
7430006;ZI LA LOMBARDIERE;07430;Davézieux;45.251714;4.696601
65370003;RUE NATIONALE;65370;Loures-Barousse;43.022985;0.60702
